video_id,name,views,genre,channel_id,advertisement_id,user_id
1,The Ugly Truth About Business,132476,Business,3,1,1
2,What Will Business Be Like in 100 Years?,2312,Business,3,2,1
3,My 10 Top Tips For Biography,213,Biography,1,3,4
4,How to build a Biography you can be proud of,431252,Biography,2,4,1
5,Meet the Steve Jobs of the Database Industry,41545142,Business,4,5,5
6,7 Things About Lifestyle Your Boss Wants to Know,468254,Lifestyle,1,4,3
7,10 Things You Learned in Preschool That'll Help You With Database,13,Technology,5,3,4
8,7 Things About Lifestyle Your Boss Wants to Know,1425468,Lifestyle,2,5,4
9,The History of Database,3325,Technology,1,2,4
10,10 Of The Best Strategies To Simplify Database,685740,Technology,2,1,2
